epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7912,1.97087,3.15226,1.56817,0.70067,0.24071,0.24143,0.11793,2.12391,2.55128,1.43994,0.000207078,0.000207078,0.000207078
2,62.8056,1.90621,1.88103,1.48698,0.6208,0.28175,0.29751,0.14221,2.03893,2.16004,1.35464,0.000415367,0.000415367,0.000415367
3,88.0693,1.90091,1.72268,1.4677,0.55342,0.32774,0.2944,0.14137,2.02785,3.2487,1.35419,0.000623474,0.000623474,0.000623474
4,117.657,1.82892,1.62242,1.43756,0.46656,0.34979,0.30543,0.14188,2.05323,2.5371,1.34291,0.00062439,0.00062439,0.00062439
5,141.615,1.82859,1.60183,1.4389,0.57851,0.36038,0.31367,0.13664,2.03086,2.4107,1.35876,0.000623915,0.000623915,0.000623915
6,165.694,1.79051,1.50136,1.41624,0.52871,0.37537,0.35165,0.16311,1.97954,3.54995,1.34501,0.000623305,0.000623305,0.000623305
7,189.979,1.78972,1.48414,1.39694,0.54843,0.37591,0.34564,0.16072,1.95814,2.72163,1.32029,0.00062256,0.00062256,0.00062256
8,214.037,1.77221,1.44109,1.3845,0.59472,0.37575,0.37189,0.16996,1.92845,2.08361,1.28777,0.000621681,0.000621681,0.000621681
9,239.376,1.73731,1.41292,1.372,0.60225,0.40172,0.39473,0.18028,1.87719,1.81277,1.27709,0.000620668,0.000620668,0.000620668
10,262.797,1.74987,1.4057,1.37904,0.62432,0.39719,0.4032,0.19195,1.91794,1.49255,1.25168,0.00061952,0.00061952,0.00061952
11,286.973,1.70126,1.34958,1.34697,0.4931,0.40642,0.39959,0.18372,1.88445,1.7217,1.24793,0.000618239,0.000618239,0.000618239
12,311.403,1.71573,1.34273,1.3591,0.5389,0.4274,0.41649,0.1984,1.81822,1.34249,1.25938,0.000616826,0.000616826,0.000616826
13,335.195,1.69828,1.33973,1.34016,0.5288,0.44676,0.42378,0.2038,1.8126,1.53489,1.23174,0.00061528,0.00061528,0.00061528
14,358.389,1.70901,1.32923,1.34436,0.61324,0.42875,0.42235,0.20648,1.79754,1.57196,1.25111,0.000613603,0.000613603,0.000613603
15,381.441,1.67843,1.28328,1.33889,0.57455,0.42989,0.42868,0.20294,1.83786,1.71583,1.24698,0.000611796,0.000611796,0.000611796
16,405.723,1.67628,1.29015,1.33136,0.56319,0.45294,0.43557,0.21407,1.76778,2.49178,1.23542,0.000609858,0.000609858,0.000609858
17,429.36,1.68149,1.29864,1.33053,0.54029,0.4642,0.44935,0.21709,1.78275,1.83407,1.22685,0.000607791,0.000607791,0.000607791
18,453.844,1.65921,1.26147,1.31902,0.62223,0.42841,0.44484,0.21815,1.79115,1.34307,1.22908,0.000605597,0.000605597,0.000605597
19,479.369,1.67119,1.25518,1.32981,0.5436,0.46501,0.44821,0.21506,1.74231,1.48723,1.21577,0.000603275,0.000603275,0.000603275
20,502.728,1.64777,1.23077,1.3112,0.55522,0.47755,0.46147,0.2318,1.71888,1.22882,1.1881,0.000600826,0.000600826,0.000600826
21,526.37,1.64078,1.23584,1.31222,0.53255,0.48896,0.46194,0.22701,1.74781,1.79758,1.19781,0.000598253,0.000598253,0.000598253
22,549.725,1.65456,1.22799,1.30455,0.55301,0.45571,0.45135,0.22145,1.72012,1.47106,1.21205,0.000595556,0.000595556,0.000595556
23,573.008,1.6411,1.21769,1.31086,0.56905,0.46743,0.46729,0.23368,1.71198,1.19623,1.19199,0.000592736,0.000592736,0.000592736
24,595.864,1.61946,1.21461,1.30221,0.57629,0.48128,0.47407,0.23444,1.72089,1.56702,1.18698,0.000589794,0.000589794,0.000589794
25,617.77,1.64133,1.19855,1.30011,0.59195,0.4952,0.48932,0.24544,1.67725,1.20522,1.17307,0.000586732,0.000586732,0.000586732
26,641.71,1.62169,1.19128,1.29124,0.57364,0.48813,0.48744,0.2447,1.69887,1.16942,1.18261,0.000583552,0.000583552,0.000583552
27,662.511,1.63186,1.18864,1.30438,0.65665,0.46307,0.47911,0.23871,1.68405,1.14205,1.16892,0.000580253,0.000580253,0.000580253
28,683.915,1.58953,1.16707,1.28478,0.58038,0.49003,0.48405,0.23985,1.69287,2.35692,1.16466,0.000576839,0.000576839,0.000576839
29,705.292,1.5929,1.16233,1.291,0.54412,0.49006,0.47485,0.24064,1.67682,1.332,1.15909,0.00057331,0.00057331,0.00057331
30,726.725,1.59421,1.16425,1.29156,0.58295,0.49318,0.49423,0.25444,1.66182,1.17882,1.15253,0.000569668,0.000569668,0.000569668
31,748.31,1.59255,1.15699,1.28604,0.59906,0.4804,0.49292,0.25045,1.63491,1.09419,1.15678,0.000565915,0.000565915,0.000565915
32,770.165,1.60912,1.16084,1.29109,0.59949,0.49558,0.49896,0.25364,1.6764,1.64201,1.1563,0.000562051,0.000562051,0.000562051
33,791.32,1.57721,1.13704,1.2748,0.60622,0.49036,0.49874,0.25337,1.6405,1.11077,1.15918,0.00055808,0.00055808,0.00055808
34,812.574,1.57526,1.1465,1.2743,0.60479,0.49695,0.5137,0.26114,1.62565,1.20236,1.16587,0.000554003,0.000554003,0.000554003
35,833.551,1.58279,1.12738,1.27394,0.60537,0.50953,0.51204,0.26378,1.65144,1.03966,1.16062,0.00054982,0.00054982,0.00054982
36,854.466,1.57527,1.10933,1.26401,0.59259,0.49675,0.50831,0.26024,1.62016,1.08812,1.12661,0.000545535,0.000545535,0.000545535
37,875.45,1.57104,1.11705,1.25766,0.69088,0.49759,0.51625,0.2691,1.60252,1.11189,1.13324,0.00054115,0.00054115,0.00054115
38,896.691,1.56975,1.1018,1.26933,0.69369,0.50941,0.51975,0.26558,1.61148,1.20604,1.1482,0.000536665,0.000536665,0.000536665
39,917.712,1.56842,1.11144,1.26332,0.70917,0.5039,0.52825,0.27342,1.60734,1.36709,1.14227,0.000532083,0.000532083,0.000532083
40,941.571,1.52349,1.07955,1.25195,0.68144,0.50426,0.51777,0.27443,1.58463,1.1618,1.11696,0.000527407,0.000527407,0.000527407
41,1113.16,1.53853,1.08828,1.26122,0.71057,0.5051,0.52533,0.27379,1.59133,1.13349,1.11344,0.000522637,0.000522637,0.000522637
42,1133.22,1.57133,1.10223,1.2585,0.6959,0.51009,0.5662,0.29134,1.62298,1.22901,1.13658,0.000517777,0.000517777,0.000517777
